Hour,Load (kW),Load (kW)
813,60602.3895,0.606023895
814,57381.0398,0.573810398
815,56766.487,0.56766487
816,55980.7904,0.559807904
817,62699.9719,0.626999719
818,59900.9204,0.599009204
819,54731.4014,0.547314014
820,48727.3005,0.487273005
821,48227.0941,0.482270941
822,48381.4754,0.483814754
823,49858.8434,0.498588434
824,54504.9575,0.545049575
825,54494.257,0.54494257
826,52601.6423,0.526016423
827,53776.4029,0.537764029
828,51788.8907,0.517888907
829,53732.5263,0.537325263
830,57754.4479,0.577544479
831,54325.5074,0.543255074
832,57882.8531,0.578828531
833,53373.7228,0.533737228
834,53830.2685,0.538302685
835,58148.2241,0.581482241
836,54164.7531,0.541647531
837,49879.9453,0.498799453
838,55457.6294,0.554576294
839,51301.8569,0.513018569
840,52812.3818,0.528123818
841,57220.867,0.57220867
842,56025.8223,0.560258223
843,59090.0239,0.590900239
844,65842.4903,0.658424903
845,58521.6513,0.585216513
846,57434.2246,0.574342246
847,60474.4087,0.604744087
848,56146.8405,0.561468405
849,57032.5819,0.570325819
850,53215.0862,0.532150862
851,51731.3839,0.517313839
852,59304.0304,0.593040304
853,57738.05,0.5773805
854,62098.7183,0.620987183
855,59985.8781,0.599858781
856,64346.2207,0.643462207
857,64680.3988,0.646803988
858,65620.5592,0.656205592
859,63890.8129,0.638908129
860,67916.2021,0.679162021
861,68937.0031,0.689370031
862,63590.6423,0.635906423
863,62609.5871,0.626095871
864,70872.0319,0.708720319
865,69851.6074,0.698516074
866,73239.2434,0.732392434
867,58464.4263,0.584644263
868,68341.4634,0.683414634
869,76033.3889,0.760333889
870,75445.2915,0.754452915
871,69069.0022,0.690690022
872,73214.2454,0.732142454
873,76459.1667,0.764591667
874,75682.9702,0.756829702
875,80211.8784,0.802118784
876,72597.4548,0.725974548
877,79627.9428,0.796279428
878,81689.3739,0.816893739
879,79139.837,0.79139837
880,72156.5334,0.721565334
881,70395.6781,0.703956781
882,66063.6856,0.660636856
883,67027.6949,0.670276949
884,67332.3214,0.673323214
885,72802.2723,0.728022723
886,76604.4408,0.766044408
887,71351.5273,0.713515273
888,68043.4202,0.680434202
889,62838.9161,0.628389161
890,69587.6192,0.695876192
891,67395.766,0.67395766
892,59982.1818,0.599821818
893,55420.6801,0.554206801
894,58931.4857,0.589314857
895,60408.6475,0.604086475
896,57840.1721,0.578401721
897,73595.3875,0.735953875
898,68707.3401,0.687073401
899,77353.5262,0.773535262
900,69252.3842,0.692523842
901,74244.4023,0.742444023
902,72377.4099,0.723774099
903,77336.4426,0.773364426
904,75244.325,0.75244325
905,71213.4291,0.712134291
906,71663.7858,0.716637858
907,68041.5798,0.680415798
908,64667.3312,0.646673312
909,73505.7658,0.735057658
910,70724.601,0.70724601
911,69713.8935,0.697138935
912,71973.4426,0.719734426
913,72920.4856,0.729204856
914,73605.3788,0.736053788
915,84196.585,0.84196585
916,72119.9549,0.721199549
917,69926.511,0.69926511
918,66621.3592,0.666213592
919,59334.0539,0.593340539
920,63247.6575,0.632476575
921,65565.3199,0.655653199
922,63320.2415,0.633202415
923,60016.8384,0.600168384
924,62666.9749,0.626669749
925,62917.891,0.62917891
926,70786.1042,0.707861042
927,70383.0648,0.703830648
928,71681.8068,0.716818068
929,72004.2186,0.720042186
930,76791.5748,0.767915748
931,73373.1904,0.733731904
932,69786.4794,0.697864794
933,71559.5165,0.715595165
934,67822.2352,0.678222352
935,67481.2535,0.674812535
936,67516.8446,0.675168446
937,71296.0662,0.712960662
938,76694.8197,0.766948197
939,70968.6439,0.709686439
940,61913.0252,0.619130252
941,59900.325,0.59900325
942,65433.6042,0.654336042
943,58877.0196,0.588770196
944,55885.583,0.55885583
945,59715.0516,0.597150516
946,61769.6764,0.617696764
947,56586.3109,0.565863109
948,61881.0817,0.618810817
949,64329.8828,0.643298828
950,66497.9626,0.664979626
951,69166.1778,0.691661778
952,70246.4316,0.702464316
953,67259.4162,0.672594162
954,69855.3727,0.698553727
955,68825.2522,0.688252522
956,68498.0106,0.684980106
957,70078.16,0.7007816
958,67141.6212,0.671416212
959,64258.2776,0.642582776
960,63314.6194,0.633146194
961,68384.6243,0.683846243
962,61221.3291,0.612213291
963,57503.5019,0.575035019
964,56738.7744,0.567387744
965,53575.1152,0.535751152
966,51489.7392,0.514897392
967,50915.0255,0.509150255
968,53886.6339,0.538866339
969,52020.4434,0.520204434
970,55039.2685,0.550392685
971,49868.2117,0.498682117
972,52869.0784,0.528690784
973,55446.3476,0.554463476
974,58476.0649,0.584760649
975,52445.3939,0.524453939
976,53057.0865,0.530570865
977,52646.7064,0.526467064
978,55554.8423,0.555548423
979,56777.8785,0.567778785
