Hour,Load (kW)
2811,57152.8089
2812,60395.1001
2813,59829.1601
2814,58826.2261
2815,58601.058
2816,59042.9608
2817,64214.5152
2818,59105.3496
2819,63775.3637
2820,62513.7494
2821,60275.0722
2822,69795.7573
2823,64665.7826
2824,66076.0398
2825,63546.9175
2826,64899.9899
2827,63516.4552
2828,60660.8858
2829,63794.7481
2830,60574.02
2831,59960.0871
2832,59175.0087
2833,65894.8068
2834,63096.3702
2835,57927.4646
2836,51923.9753
2837,51424.3789
2838,51579.3686
2839,53057.3434
2840,57704.0625
2841,57693.9654
2842,55801.9526
2843,56977.3133
2844,54990.3996
2845,56934.632
2846,60957.1488
2847,57528.8019
2848,61086.7394
2849,56578.1994
2850,57035.3338
2851,61353.8763
2852,57370.9907
2853,53086.7665
2854,58665.0327
2855,54509.8405
2856,56020.9441
2857,60430.0063
2858,59235.537
2859,62300.3124
2860,69053.351
2861,61733.0824
2862,60646.2245
2863,63686.9758
2864,59359.973
2865,60246.2783
2866,56429.3448
2867,54946.203
2868,62519.4085
2869,60953.9852
2870,65315.2091
2871,63202.9229
2872,67563.8178
2873,67898.5464
2874,68839.2558
2875,67110.0568
2876,71135.9917
2877,72157.3366
2878,66811.5182
2879,65831.0037
2880,74093.9875
2881,73074.1003
2882,76462.2721
2883,61687.989
2884,71565.5584
2885,79258.0147
2886,78670.4464
2887,72294.6845
2888,76440.4534
2889,79685.8988
2890,78910.2247
2891,83439.6537
2892,75825.7492
2893,82856.7546
2894,84918.7015
2895,82369.6787
2896,75386.8877
2897,73626.5432
2898,69295.0598
2899,70259.5765
2900,70564.7089
2901,76035.1639
2902,79837.8349
2903,74585.4222
2904,71277.8143
2905,66073.8077
2906,72823.0066
2907,70631.6476
2908,63218.5559
2909,58657.5451
2910,62168.8398
2911,63646.4891
2912,61078.4996
2913,76834.1991
2914,71946.6342
2915,80593.3012
2916,72492.6384
2917,77485.1339
2918,75618.6174
2919,80578.1243
2920,78486.4792
2921,74456.0541
2922,74906.88
2923,71285.1415
2924,67911.3587
2925,76750.2575
2926,73969.5552
2927,72959.3085
2928,75219.3167
2929,76166.8172
2930,76852.1663
2931,87443.8267
2932,75367.649
2933,73174.6559
2934,69869.9533
2935,62583.0954
2936,66497.1448
2937,68815.2514
2938,66570.6153
2939,63267.653
2940,65918.2286
2941,66169.5822
2942,74038.2311
2943,73635.6258
2944,74934.8002
2945,75257.6428
2946,80045.428
2947,76627.4711
2948,73041.1857
2949,74814.6468
2950,71077.7879
2951,70737.227
2952,70773.2371
2953,74552.876
2954,79952.0452
2955,74226.2834
2956,65171.077
2957,63158.7874
2958,68692.4755
2959,62136.2983
2960,59145.2673
2961,62975.1398
2962,65030.1668
2963,59847.2019
2964,65142.3716
2965,67591.57
2966,69760.0453
2967,72428.6544
2968,73509.3004
2969,70522.6754
2970,73119.0208
2971,72089.2874
2972,71762.4313
2973,73342.9645
2974,70406.8078
2975,67523.8446
2976,66580.5652
2977,71650.9472
2978,64488.0273
2979,60770.5739
2980,60006.2184
2981,56842.9295
2982,54757.9222
2983,54183.5755
2984,57155.5492
2985,55289.7223
2986,58308.9094
2987,53138.2128
2988,56139.4381
2989,58717.0642
2990,61747.1367
2991,55716.8192
2992,56328.8637
2993,55918.8337
2994,58827.3182
2995,60050.7011
2996,60925.9009
2997,56504.7422
2998,55453.3485
2999,55569.4715
3000,55333.2062
3001,63917.8014
3002,58706.2701
3003,51165.8956
3004,49633.7908
3005,50242.4804
3006,48012.5164
3007,49903.2108
3008,49608.2695
3009,55533.5458
3010,49637.1482
3011,54476.8757
3012,55496.5041
3013,55657.5542
3014,58492.5984
3015,58253.7384
3016,58200.2549
3017,59730.5748
3018,60512.9232
3019,59990.7775
3020,61762.3583
3021,60190.963
3022,63759.5791
3023,62883.7382
3024,64752.6101
3025,62357.188
3026,71657.1011
3027,65426.0094
3028,63990.5928
3029,61823.1187
3030,61045.5663
3031,56079.344
3032,60200.344
3033,63313.037
3034,60187.8282
3035,68144.8417
3036,61535.4151
3037,63316.0894
3038,77364.5086
3039,67506.9236
3040,68397.3911
3041,69182.6805
3042,75316.2647
3043,73363.5624
3044,75008.3376
3045,69652.1688
3046,73572.7608
3047,75336.3528
3048,77021.3006
3049,82350.8854
3050,73096.7242
3051,70094.8792
3052,66069.6066
3053,65136.0785
3054,65749.0956
3055,64990.3976
3056,64185.5262
3057,63469.5496
3058,59489.7091
3059,62118.7358
3060,63403.3861
3061,65633.7767
3062,73131.5018
3063,77372.1135
3064,70845.356
3065,79944.9031
3066,71942.7537
3067,67555.8199
3068,69254.0753
3069,70379.2161
3070,70298.6385
3071,74521.0351
3072,79280.2422
3073,77743.4199
3074,71232.6629
3075,70993.5722
3076,75300.5916
3077,71805.0819
3078,69967.9662
3079,68360.5267
3080,64300.8516
3081,66365.929
3082,65809.7774
3083,54267.5709
3084,58288.4273
3085,59910.0936
3086,60866.9857
3087,63350.8884
3088,65043.4473
3089,68358.8327
3090,67548.1436
3091,73265.4646
3092,68303.0088
3093,81475.9634
3094,76976.0758
3095,74937.5433
3096,69456.092
3097,79284.3911
3098,77176.3323
3099,66802.2906
3100,61126.4713
3101,60731.1198
3102,66663.7356
3103,66444.228
3104,63666.8084
3105,62244.1321
3106,66875.8532
3107,59863.3944
3108,81334.2024
3109,78888.7455
3110,84952.9524
3111,84975.2447
3112,84780.1502
3113,78242.7956
3114,75074.3448
3115,69275.826
3116,71632.7696
3117,70320.7177
3118,68398.8782
3119,66919.1853
3120,73013.0893
3121,79258.8685
3122,77990.7106
3123,70004.091
3124,70807.7796
3125,70796.2046
3126,71067.985
3127,62654.3641
3128,64129.8242
3129,77843.0304
3130,81600.5342
3131,90052.7921
3132,86324.9823
3133,85393.8901
3134,69370.1524
3135,72676.5707
3136,69102.628
3137,64492.1109
3138,68875.8111
3139,72169.5658
3140,72077.8559
3141,73064.6861
3142,68395.4886
3143,77811.435
3144,71277.854
3145,75954.1691
3146,69838.9398
3147,62990.9208
3148,57098.2577
3149,54538.6978
3150,52983.3252
3151,58385.1458
3152,50802.2094
3153,54726.3973
3154,60504.3366
3155,67278.5283
3156,71090.2162
3157,67729.6611
3158,66959.835
3159,70013.8248
3160,74941.1542
3161,75297.6475
3162,71417.924
3163,74765.2864
3164,71726.9374
3165,70375.4934
3166,74558.8871
3167,78168.3339
3168,77375.2518
3169,84691.6259
3170,76419.333
3171,75611.9241
3172,69760.6469
3173,67989.6316
3174,67387.4137
3175,70560.7507
3176,67437.7455
3177,56024.7073
3178,53897.2596
3179,57502.1062
3180,53492.1782
3181,53237.6161
3182,53010.7943
3183,56761.6505
3184,55132.0405
3185,57066.9234
3186,56082.6001
3187,58526.6276
3188,70938.2586
3189,72794.4435
3190,67501.9768
3191,67970.4232
3192,67281.3268
3193,73062.3066
3194,72618.5283
3195,71511.2031
3196,66745.4973
3197,67738.67
3198,69227.6517
3199,67959.1212
3200,64312.6522
3201,70439.5209
3202,78161.2453
3203,75178.9348
3204,69019.1312
3205,71127.7858
3206,74123.2289
3207,73034.8967
3208,74417.4991
